,あ,い,う,え,お,か,き,く,け,こ,さ,し,す,せ,そ,た,ち,つ,て,と,な,に,ぬ,ね,の,は,ひ,ふ,へ,ほ,ま,み,む,め,も,や,ゆ,よ,ら,り,る,れ,ろ,わ,ゔ,が,ぎ,ぐ,げ,ご,ざ,じ,ず,ぜ,ぞ,だ,ぢ,づ,で,ど,ば,び,ぶ,べ,ぼ,ぱ,ぴ,ぷ,ぺ,ぽ
さ,7,245,372,40,14,54,127,127,32,28,28,98,29,7,12,23,123,79,10,38,19,8,0,10,16,15,6,6,0,4,37,53,18,36,11,43,37,30,49,102,40,14,27,17,0,9,23,10,15,12,2,64,14,2,1,13,0,0,6,21,27,27,9,3,9,1,3,7,1,3
し,6,605,888,22,24,90,247,410,57,58,26,167,29,21,22,46,135,220,19,69,14,23,3,15,21,17,18,23,1,11,69,99,32,39,13,87,52,96,37,156,54,21,30,29,0,26,43,16,11,17,15,81,40,7,1,19,2,0,9,38,29,35,27,10,7,6,6,20,1,6
す,8,95,82,6,10,33,57,57,14,16,10,39,36,2,6,24,62,23,12,53,14,1,0,9,8,2,1,8,2,2,15,26,19,18,4,12,12,4,20,57,59,12,15,3,0,3,5,30,4,3,2,34,16,5,0,9,0,0,8,14,7,11,9,3,1,17,1,21,1,1
せ,2,254,349,3,3,45,92,165,10,15,12,72,10,7,5,14,57,117,13,24,9,4,0,2,6,4,7,10,1,3,11,12,13,4,3,25,24,32,26,55,18,13,16,18,0,7,9,3,8,7,6,24,6,1,1,3,0,0,3,13,2,9,7,0,4,4,5,8,0,2
そ,3,133,208,4,2,7,39,78,13,5,4,26,9,0,11,6,24,55,7,16,6,10,0,5,12,4,0,7,3,3,5,10,3,18,1,18,13,17,11,27,8,8,9,5,0,9,3,6,3,7,1,20,7,2,0,7,0,0,10,2,9,4,5,0,5,0,2,3,0,3
た,1,184,248,25,12,47,108,105,24,34,16,74,11,2,3,23,118,75,15,43,17,12,0,14,35,7,10,6,1,3,36,45,4,10,2,29,6,27,24,89,24,10,12,13,0,7,18,9,5,16,7,48,7,2,1,15,0,0,4,6,8,20,9,2,9,2,1,7,0,5
ち,2,225,338,9,9,29,90,150,19,30,17,115,13,2,7,27,63,89,5,24,10,6,1,18,5,9,1,3,2,6,25,28,9,20,1,39,19,36,26,64,23,13,19,14,0,3,10,7,12,12,6,28,10,1,0,10,2,1,1,5,16,9,16,2,11,1,2,8,0,2
つ,1,52,52,16,2,15,41,23,14,10,5,46,5,7,3,14,32,16,25,16,5,9,0,16,19,1,1,1,0,1,20,36,3,18,2,8,2,8,15,70,16,11,15,7,0,3,17,3,14,3,2,23,5,1,0,2,0,1,4,6,8,5,4,2,10,0,0,1,0,0
て,3,154,159,10,3,24,70,83,10,14,5,37,19,4,4,13,35,46,8,33,6,7,0,8,4,4,2,2,0,0,22,14,5,12,0,25,14,16,23,55,19,18,13,6,0,6,6,4,5,2,2,18,9,1,2,4,0,0,2,6,6,5,2,1,1,2,3,11,0,6
と,2,150,194,21,13,29,80,83,14,23,13,74,18,10,3,28,55,66,16,37,12,10,0,11,6,10,12,12,3,5,23,27,12,16,10,30,16,24,20,82,31,16,20,9,0,9,15,8,13,9,5,31,10,1,1,5,0,1,11,12,11,10,3,2,3,5,2,5,0,1
な,2,101,99,17,5,44,49,45,19,25,10,57,15,5,0,19,89,25,23,28,13,9,0,4,23,7,3,3,2,0,17,41,8,20,11,19,7,11,19,89,16,17,16,13,0,2,13,4,3,7,0,45,14,1,5,8,0,0,4,9,8,11,6,4,1,3,0,3,0,0
に,6,138,188,9,9,30,85,80,20,13,4,78,24,5,9,19,70,41,8,17,5,11,1,8,18,4,1,4,0,3,21,24,10,9,2,26,11,16,19,60,18,14,17,12,0,4,12,3,11,9,0,25,6,2,0,13,0,0,2,2,8,14,9,2,2,1,1,6,0,1
ぬ,1,5,0,4,0,1,6,2,4,1,0,2,0,0,2,2,5,1,1,6,1,1,5,0,4,0,1,0,0,0,1,7,0,5,0,0,3,0,4,12,2,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,2,2,0,0,0,0,1
ね,1,32,55,0,2,3,20,7,9,10,4,23,2,2,0,12,13,18,0,12,3,2,0,4,3,2,0,1,0,0,10,6,4,3,0,3,5,5,3,34,4,9,10,1,0,4,7,3,3,1,5,10,0,3,0,3,0,0,0,6,4,2,6,0,1,0,3,3,0,1
の,5,30,49,6,6,14,25,20,11,10,0,24,3,1,2,6,29,14,4,14,2,2,2,4,17,3,2,2,1,1,7,20,5,4,1,8,0,3,13,32,11,5,7,2,0,0,7,4,2,1,0,6,6,1,0,0,0,0,1,9,5,9,4,2,2,0,0,3,1,1
は,5,195,287,28,15,54,143,141,27,32,18,86,23,11,7,41,108,82,20,36,10,14,1,19,26,18,1,9,1,3,50,71,11,36,11,52,22,30,39,127,39,27,24,24,0,13,26,14,14,18,4,34,15,8,0,6,2,0,16,11,22,19,15,4,3,9,9,8,0,3
ひ,2,114,168,24,9,34,98,100,33,29,7,103,8,7,5,26,72,59,23,34,17,9,1,11,17,4,18,4,1,1,32,41,4,34,11,22,13,7,21,117,21,16,19,18,0,10,23,6,17,11,4,36,7,1,1,8,0,0,8,9,11,14,6,3,2,0,1,5,0,1
